URL,Agency,Vendor Name,Reference Number,Contract Date,Description of Work,Contract Period,Something,Contract Value,Comments
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39044.html,Office of the Auditor General of Canada,DELOITTE &amp; TOUCHE LLP,P1400474,2013-11-27,0401 Accounting and audit services,2013-11-27 to 2014-03-31,,56500,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39055.html,Office of the Auditor General of Canada,DELOITTE &amp; TOUCHE LLP,P1400478,2013-11-27,0491 Management consulting,2013-12-02 to 2014-03-31,,22600,Training Advisory Services. Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39048.html,Office of the Auditor General of Canada,AKENDI INC.,P1400468,2013-11-27,0473 Information Technology and Telecommunications Consultants,2013-12-02 to 2014-03-31,,25000,Workshop on user interaction design for applications
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39040.html,Office of the Auditor General of Canada,CORE SOFTWARE CORP,P1400475,2013-11-28,0813 Temporary help services,2013-12-02 to 2014-03-31,,108480,Computer Application Support. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39070.html,Office of the Auditor General of Canada,ASSOCIATES IN PSYCHIATRY AT THE CLARKE INSTITUTE,P1400482,2013-11-28,0401 Accounting and audit services,2013-11-29 to 2014-10-31,,10780,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39069.html,Office of the Auditor General of Canada,"GLENN WM SINCLAIR, INC",P1400481,2013-11-28,0401 Accounting and audit services,2013-11-29 to 2014-10-31,,10780,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39068.html,Office of the Auditor General of Canada,"HOOD, JAMES MADILL",P1400485,2013-12-03,0491 Management consulting,2013-12-04 to 2015-03-31,,10848,Respectful Workplace Coordinator.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39053.html,Office of the Auditor General of Canada,HUNTER LITIGATION CHAMBERS LAW CORPORATION,P1400484,2013-12-03,0410 Legal Services,2013-12-05 to 2014-03-31,,24295,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39039.html,Office of the Auditor General of Canada,DELL CANADA INC.,P1400486,2013-12-03,1283 Computer Equipment - Client Computing Domain - Desktop / Personal / Portable (Includes related parts and peripherals),2014-01-02 to 2014-01-02,,160159.99,Purchase of notebook computers. Contract awarded through a Public Works and Government Services Canada (PWGSC) competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39072.html,Office of the Auditor General of Canada,CUTTER CONSORTIUM,P1400487,2013-12-05,0361 Electronic subscriptions,2014-01-01 to 2015-01-01,,10127.96,Subscription to IT related online information
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39073.html,Office of the Auditor General of Canada,"DUSAULT, BERNARD",P1400351,2013-12-05,0401 Accounting and audit services,2013-12-05 to 2013-12-05,,24000,"Original value was $8,180.00. This Contract includes one or more amendments.  Extent of work was increased, Contract subsequently amended to $24,000.00."
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39071.html,Office of the Auditor General of Canada,SOFTCHOICE LP,P1400493,2013-12-11,1283 Computer Equipment - Client Computing Domain - Desktop / Personal / Portable (Includes related parts and peripherals),2013-12-20 to 2013-12-20,,10203.9,Computer hardware
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39064.html,Office of the Auditor General of Canada,SOFTCHOICE LP,P1400494,2013-12-11,1284 Client Software,2013-12-20 to 2013-12-20,,13715.6,Purchase of ER Studio Software.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39075.html,Office of the Auditor General of Canada,KPA ADVISORY SERVICES LTD,P1400204,2013-12-12,0401 Accounting and audit services,2013-12-12 to 2013-12-30,,10298.75,"Original value was $9,698.75. This Contract includes one or more amendments.  Extent of expenses was increased, Contract subsequently amended to $10,298.75."
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39037.html,Office of the Auditor General of Canada,COLLINS BARROW OTTAWA LLP,P1400497,2013-12-12,0401 Accounting and audit services,2013-12-16 to 2018-12-31,,233610.55,Contract awarded through a Public Works and Government Services Canada (PWGSC) competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39059.html,Office of the Auditor General of Canada,GH INFORMATICS SERVICES INC.,P1400499,2013-12-16,0473 Information Technology and Telecommunications Consultants,2013-12-17 to 2014-03-31,,21187.5,Product resource management project
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39050.html,Office of the Auditor General of Canada,"GREG THOMPSON CONSULTING, INC.",P1400500,2013-12-18,0491 Management consulting,41627 to 2014-03-31,,24860,Update the Office&#39;s Security Policy and develop an Security Awareness Presentation. Contract awarded through a competitive process .
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39038.html,Office of the Auditor General of Canada,IBM CANADA LIMITED,P1400504,2013-12-18,1285 Application Software (including COTS) and Application Development and Delivery Software,2013-12-20 to 2013-12-20,,226706.23,Business intelligence software and maintenance. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39042.html,Office of the Auditor General of Canada,CORE SOFTWARE CORP,P1400507,2013-12-20,0813 Temporary help services,2014-01-06 to 2014-03-31,,82716,Computer Application Support. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39046.html,Office of the Auditor General of Canada,MARCIL LAVALLEE,P1400508,2013-12-20,0401 Accounting and audit services,2014-01-13 to 2014-03-14,,47460,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39057.html,Office of the Auditor General of Canada,NEO INSIGHT INC.,P1400515,2013-12-27,0473 Information Technology and Telecommunications Consultants,2014-01-02 to 2014-03-31,,22238.4,Usability Testing for Improved Audit Reporting on the Web
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39043.html,Office of the Auditor General of Canada,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,P1400510,2013-12-27,0473 Information Technology and Telecommunications Consultants,2014-01-20 to 2014-03-31,,60172.52,Web Architect. Contract awarded through a competitive process
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38715.html,Office of the Auditor General of Canada,WATSON ADVISORS INC.,P1400334,2013-08-01,0401 Accounting and audit services,2013-08-01 to 2014-08-31,,20080,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38713.html,Office of the Auditor General of Canada,HUNTER LITIGATION CHAMBERS LAW CORPORATION,P1400327,2013-07-31,0410 Legal Services,2013-08-09 to 2014-03-31,,22272.2,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38699.html,Office of the Auditor General of Canada,C2 INNOVATIONS INC,P1400381,2013-09-18,0473 Information Technology and Telecommunications Consultants,2013-09-23 to 2014-03-31,,54319.6,Provide update and support for the C2 database
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38704.html,Office of the Auditor General of Canada,PRICEWATERHOUSECOOPERS LLP,P1400308,2013-07-26,0448 Purchase of training packages and courses,2013-07-30 to 2013-08-30,,31075,Acquisition of training course material. Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38707.html,Office of the Auditor General of Canada,CORPORATE EXPRESS CANADA INC.,P1400305,2013-07-25,1172 Office and stationers supplies,2013-07-30 to 2013-07-30,,24860,Purchase of miscellaneous office supplies. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38730.html,Office of the Auditor General of Canada,5 DEGREES TELECOMMUNICATIONS CONSULTING,P1300498,2013-09-05,0473 Information Technology and Telecommunications Consultants,2012-11-26 to 2015-03-31,,74851.2,"Original value was $49,900.80. This Contract includes one or more amendments. Extent of expenses was increased, Contract subsequently amended to $74,851.20. Contract awarded through a OAG competitive process."
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38716.html,Office of the Auditor General of Canada,"BOOTHE, PAUL MICHAEL",P1400379,2013-09-18,0491 Management consulting,2013-11-01 to 2014-03-31,,19238,Human Resources Advisory Services.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38708.html,Office of the Auditor General of Canada,LEARNING BY HAND,P1400297,2013-07-15,0491 Management consulting,2013-07-15 to 2014-03-31,,24718.75,Advice on learning strategies and approaches.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38710.html,Office of the Auditor General of Canada,PROCUREMENT LAW OFFICE,P1400296,2013-07-12,0410 Legal Services,2013-07-12 to 2014-03-31,,24600,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38724.html,Office of the Auditor General of Canada,TELUS COMMUNICATIONS,P1400360,2013-08-28,0819 Non-professional personal service contracts not elsewhere,2013-09-01 to 2014-08-31,,13234.45,Maintenance agreement for telephone and voicemail systems
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38731.html,Office of the Auditor General of Canada,MACKINNON-CHARLTON INC.,P1300116,2013-08-09,0491 Management consulting,2012-04-01 to 2015-03-31,,53290.8,"Original value was $50,850.00. This Contract includes one or more amendments. Extent of expenses was increased, Contract subsequently amended to $53,290.80. Contract awarded through a OAG competitive process."
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38723.html,Office of the Auditor General of Canada,CHARTERED PROFESSIONAL ACCOUNTANTS OF CANADA,P1400306,2013-07-25,"1143 Printed matter, including books, newspapers, pictures, manuscripts and forms",2013-07-25 to 2013-07-25,,13560,Site license to the Standards and Guidance Collection.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38695.html,Office of the Auditor General of Canada,DELL CANADA INC.,P1400342,2013-08-09,1283 Computer Equipment - Client Computing Domain - Desktop / Personal / Portable (Includes related parts and peripherals),2013-08-23 to 2013-08-23,,163977.58,Purchase of notebook computers. Contract awarded through a Public Works and Government Services Canada (PWGSC) competitive process
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38709.html,Office of the Auditor General of Canada,7187602 CANADA,P1400392,2013-09-30,0473 Information Technology and Telecommunications Consultants,2013-10-03 to 2014-03-31,,24718.75,Facilitation and coaching of various training sessions.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38705.html,Office of the Auditor General of Canada,DELOITTE &amp; TOUCHE LLP,P1400326,2013-07-30,0448 Purchase of training packages and courses,2013-07-30 to 2014-03-31,,29886.24,Acquisition of training course material. Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38718.html,Office of the Auditor General of Canada,PROCUREMENT LAW OFFICE,P1400303,2013-07-25,0401 Accounting and audit services,2013-08-01 to 2014-03-29,,17320,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38702.html,Office of the Auditor General of Canada,EMERION,P1400338,2013-08-01,0473 Information Technology and Telecommunications Consultants,2013-08-06 to 2014-03-31,,34800.63,Web architect to assist with redesigning the OAG&#39;s Product Resource Management application. Contract awarded through a Public Works and Government Services Canada (PWGSC) competitive process
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38703.html,Office of the Auditor General of Canada,GILMORE PRINTING SERVICES INC.,P1400362,2013-09-04,0321 Printing Services,2013-09-04 to 2014-06-30,,34190.41,Printing of the 2013-14 Auditor General&#39;s Reports. Contract awarded through a competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38700.html,Office of the Auditor General of Canada,ACME~FUTURE SECURITY CONTROLS INC,P1400367,2013-09-09,0665 Other equipment,2013-09-09 to 2014-03-31,,53017.51,Replacement of cabinet locks. Contract awarded through a competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38717.html,Office of the Auditor General of Canada,RICOH CANADA INC,P1400391,2013-09-27,"0533 Rental of machinery, office furniture and fixtures and other",2013-09-01 to 2014-08-31,,19151.24,Lease of copiers. Contract awarded through a Public Works and Government Services Canada (PWGSC) competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38726.html,Office of the Auditor General of Canada,"HART, WILLIAM AVERY",P1400304,2013-07-25,0351 Communications professional services not elsewhere specified,2013-07-29 to 2014-03-31,,11300,Editorial services for various Office reports and documents. Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38725.html,Office of the Auditor General of Canada,SUSSEX CIRCLE INC.,P1400378,2013-09-18,0491 Management consulting,2013-11-01 to 2014-03-31,,11865,Human Resources Advisory Services.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38721.html,Office of the Auditor General of Canada,"ROSETTA STONE, LTD",P1400339,2013-09-13,0446 Training consultants,2013-09-13 to 2014-09-13,,15634.7,Purchase of language learning software.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38727.html,Office of the Auditor General of Canada,JUMPING ELEPHANTS INC.,P1400310,2013-07-25,0473 Information Technology and Telecommunications Consultants,2013-08-01 to 2013-09-30,,10735.28,Update OAG website architecture to conform with Governement of Canada standards
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38706.html,Office of the Auditor General of Canada,SIERRA SYSTEMS GROUPS LTD,P1400316,2013-07-31,0473 Information Technology and Telecommunications Consultants,2013-08-05 to 2014-03-31,,24999,Provision of business intelligence services software.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38714.html,Office of the Auditor General of Canada,IMP SOLUTIONS,P1400318,2013-07-31,0473 Information Technology and Telecommunications Consultants,2013-08-05 to 2014-03-31,,21470,Implement Secure Web service authentication.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38694.html,Office of the Auditor General of Canada,IMP SOLUTIONS,P1400395,2013-09-30,1287 Networking Software,2013-10-01 to 2016-09-30,,352980,Secure Electronic Management Software. Contract awarded through a competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38696.html,Office of the Auditor General of Canada,METAFORE TECHNOLOGIES INC.,P1400281,2013-07-03,1283 Computer Equipment - Client Computing Domain - Desktop / Personal / Portable (Includes related parts and peripherals),2013-07-19 to 2013-07-19,,108697.24,Purchase of computer monitors. Contract awarded through a Public Works and Government Services (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38711.html,Office of the Auditor General of Canada,THE INSTITUTE OF INTERNAL AUDITORS,P1400299,2013-07-31,0446 Training consultants,2013-08-18 to 2013-08-20,,24168.27,Training sessions on &quot;Assessing Data Reliability&quot; for staff
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38701.html,Office of the Auditor General of Canada,PRICEWATERHOUSECOOPERS LLP,P1400322,2013-07-31,0401 Accounting and audit services,2012-08-01 to 2014-03-31,,47708.6,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38722.html,Office of the Auditor General of Canada,&Eacute;COLE DE LANGUES LA CIT&Eacute; INC,P1400388,2013-09-25,0446 Training consultants,2013-10-28 to 2013-12-31,,14610.75,Language training for staff. Contract awarded through a competitive process (OAG Standing Offer)
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38697.html,Office of the Auditor General of Canada,ODGERS BERNDTSON / OTTAWA INC.,P1400298,2013-07-17,0491 Management consulting,2013-07-17 to 2013-12-31,,100005,Executive recruitment services. Contract awarded through a competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38712.html,Office of the Auditor General of Canada,OLDHAM ROBINSON INTEGRATED TECHNOLOGIES INC.,P1400343,2013-08-21,1239 Other office equipment and parts,2013-09-13 to 2013-09-13,,22791.92,Purchase of computer network printer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38720.html,Office of the Auditor General of Canada,"DUSSAULT, BERNARD",P1400351,2013-08-21,0401 Accounting and audit services,2013-08-21 to 2013-12-31,,15820,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38698.html,Office of the Auditor General of Canada,DELOITTE &amp; TOUCHE LLP,P1400328,2013-09-05,0446 Training consultants,2013-09-06 to 2014-02-28,,69427.2,Facilitation and coaching of various training sessions. Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38729.html,Office of the Auditor General of Canada,OLAV CONSULTING,P1300417,2013-09-24,0473 Information Technology and Telecommunications Consultants,2012-10-15 to 2013-10-31,,127456.03,"Original value was $63,728.00. This Contract includes one or more amendments as a result of exercising an option year. Extent of expenses was increased, Contract subsequently amended to $127,456.03. Contract awarded through a OAG competitive process."
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38719.html,Office of the Auditor General of Canada,SNC - LAVALIN PROFAC INC,P1400358,2013-08-27,0630 Office Buildings,2013-08-29 to 2014-03-31,,16950,Minor building renovations. Contract awarded through a Public Works and Government Services Canada (PWGSC) competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q2_e_38728.html,Office of the Auditor General of Canada,ANTHONY MACAULEY ASSOCIATES,P1400344,2013-08-09,0473 Information Technology and Telecommunications Consultants,2013-08-26 to 2013-10-31,,10254.75,To provide analysis of potential Web services for a financial system
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38486.html,Office of the Auditor General of Canada,DELOITTE &amp; TOUCHE LLP,P1300644,2013-03-01,0401 Accounting and audit services,2013-03-01 to 2013-03-31,,23871.25,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38506.html,Office of the Auditor General of Canada,L. PAUL FRECHETTE CONSULTING SERVICES INC.,P1400043,2013-04-04,0446 Training consultants,2013-04-29 to 2013-06-28,,12317,To conduct pre-retirement seminars.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38513.html,Office of the Auditor General of Canada,WILD BIGHT ENTERPRISES LIMITED,P1400113,2013-04-04,0401 Accounting and audit services,2013-04-08 to 2014-03-31,,10328,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38480.html,Office of the Auditor General of Canada,BLOOMBERG L.P.,P1400115,2013-04-04,0361 Electronic subscriptions,2013-04-04 to 2014-03-31,,26714.05,Access to an on-line financial information tool.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38487.html,Office of the Auditor General of Canada,"CHARRON,NICOLE",P1400123,2013-04-08,0446 Training consultants,2013-04-15 to 2014-03-31,,23730,Training in supervision of staff.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38492.html,Office of the Auditor General of Canada,"DELLA PENNA, PAOLO",P1400117,2013-04-08,0491 Management consulting,2013-04-08 to 2013-07-31,,21102.75,Report on the liability of compensated absences. Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38515.html,Office of the Auditor General of Canada,TOM BEAVER ASSOCIATES,P1300529,2013-04-08,0401 Accounting and audit services,2012-12-11 to 2013-09-30,,24402.5,"Original value was $24,082.50. This Contract includes one or more amendments.  Extent of expenses was increased, Contract subsequently amended to $24,402.50."
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38503.html,Office of the Auditor General of Canada,SNC - LAVALIN PROFAC INC,P1400125,2013-04-11,0630 Office Buildings,2013-04-11 to 2014-03-31,,13269.59,Office renovation services. Contract awarded through a Public Works and Government Services Canada (PWGSC) competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38489.html,Office of the Auditor General of Canada,"JOYCE, BRUCE A",P1400132,2013-04-16,0401 Accounting and audit services,2013-04-16 to 2014-03-31,,22148,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38485.html,Office of the Auditor General of Canada,MARCIL LAVALLEE,P1400143,2013-04-16,0401 Accounting and audit services,2013-05-02 to 2013-05-24,,23900.01,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38488.html,Office of the Auditor General of Canada,LORICK INC,P1400134,2013-04-16,0401 Accounting and audit services,2013-04-16 to 2014-03-31,,23730,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38471.html,Office of the Auditor General of Canada,MARCIL LAVALLEE,P1400135,2013-04-16,0401 Accounting and audit services,2013-04-29 to 2013-06-04,,56842.97,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38474.html,Office of the Auditor General of Canada,MARCIL LAVALLEE,P1400133,2013-04-16,0401 Accounting and audit services,2013-04-29 to 2013-06-06,,40078.05,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38490.html,Office of the Auditor General of Canada,BDO CANADA LLP,P1400127,2013-04-17,0401 Accounting and audit services,2013-04-29 to 2013-05-14,,21611.25,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38501.html,Office of the Auditor General of Canada,CCH CANADIAN LIMITED,P1400130,2013-04-19,0362 Data and Database Access Services,2013-04-19 to 2014-12-31,,14773.85,"Purchase of miscellaneous books, subscriptions and periodicals for Library"
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38472.html,Office of the Auditor General of Canada,KPMG LLP,P1400137,2013-04-19,0401 Accounting and audit services,2013-05-01 to 2016-04-30,,51528,Contract awarded through a competitive process.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38482.html,Office of the Auditor General of Canada,GOWLING LAFLEUR HENDERSON LLP,P1400159,2013-04-22,0410 Legal Services,2013-04-22 to 2014-03-31,,25730,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q1_e_38494.html,Office of the Auditor General of Canada,DELOITTE &amp; TOUCHE LLP,P1400155,2013-04-22,0401 Accounting and audit services,2013-04-22 to 2014-03-31,,18362.5,Contract awarded through a competitive process (OAG Standing Offer).
